"congress","node","party"
44,71,"Republican"
44,72,"Democrat"
44,73,"Republican"
44,74,"Republican"
44,75,"Democrat"
44,76,"Democrat"
44,77,"Democrat"
44,78,"Democrat"
44,79,"Democrat"
44,80,"Democrat"
44,81,"Republican"
44,82,"Republican"
45,1,"Republican"
45,2,"Democrat"
45,3,"Democrat"
45,4,"Republican"
45,5,"Republican"
45,6,"Republican"
45,7,"Republican"
45,8,"Republican"
45,9,"Democrat"
45,10,"Democrat"
45,11,"Democrat"
45,12,"Democrat"
45,13,"Democrat"
45,14,"Republican"
45,15,"Democrat"
45,16,"Democrat"
45,17,"Republican"
45,18,"Democrat"
45,19,"Democrat"
45,20,"Republican"
45,21,"Democrat"
45,22,"Republican"
45,23,"Republican"
45,24,"Republican"
45,25,"Republican"
45,26,"Democrat"
45,27,"Democrat"
45,28,"Republican"
45,29,"Democrat"
45,30,"Republican"
45,31,"Republican"
45,32,"Democrat"
45,33,"Democrat"
45,34,"Republican"
45,35,"Republican"
45,36,"Republican"
45,37,"Republican"
45,38,"Republican"
45,39,"Republican"
45,40,"Republican"
45,41,"Republican"
45,42,"Democrat"
45,43,"Democrat"
45,44,"Democrat"
45,45,"Democrat"
45,46,"Democrat"
45,47,"Republican"
45,48,"Republican"
45,49,"Republican"
45,50,"Republican"
45,51,"Republican"
45,52,"Republican"
45,53,"Democrat"
45,54,"Democrat"
45,55,"Democrat"
45,56,"Republican"
45,57,"Democrat"
45,58,"Democrat"
45,59,"Democrat"
45,60,"Republican"
45,61,"Republican"
45,62,"Democrat"
45,63,"Republican"
45,64,"Democrat"
45,65,"Republican"
45,66,"Republican"
45,67,"Republican"
45,68,"Republican"
45,69,"Democrat"
45,70,"Republican"
45,71,"Democrat"
45,72,"Democrat"
45,73,"Democrat"
45,74,"Democrat"
45,75,"Republican"
45,76,"Republican"
45,77,"Democrat"
45,78,"Democrat"
45,79,"Democrat"
45,80,"Democrat"
45,81,"Republican"
45,82,"Republican"
46,1,"Democrat"
46,2,"Democrat"
46,3,"Democrat"
46,4,"Democrat"
46,5,"Democrat"
46,6,"Democrat"
46,7,"Democrat"
46,8,"Republican"
46,9,"Republican"
46,10,"Republican"
46,11,"Republican"
46,12,"Democrat"
46,13,"Democrat"
46,14,"Democrat"
46,15,"Democrat"
46,16,"Democrat"
46,17,"Democrat"
46,18,"Democrat"
46,19,"Democrat"
46,20,"Democrat"
46,21,"Republican"
46,22,"Democrat"
46,23,"Democrat"
46,24,"Republican"
46,25,"Republican"
46,26,"Republican"
46,27,"Republican"
46,28,"Democrat"
46,29,"Democrat"
46,30,"Democrat"
46,31,"Republican"
46,32,"Republican"
46,33,"Republican"
46,34,"Democrat"
46,35,"Democrat"
46,36,"Republican"
46,37,"Republican"
46,38,"Republican"
46,39,"Republican"
46,40,"Republican"
46,41,"Republican"
46,42,"Republican"
46,43,"Democrat"
46,44,"Republican"
46,45,"Democrat"
46,46,"Democrat"
46,47,"Republican"
46,48,"Republican"
46,49,"Republican"
46,50,"Republican"
46,51,"Republican"
46,52,"Republican"
46,53,"Republican"
46,54,"Democrat"
46,55,"Democrat"
46,56,"Democrat"
46,57,"Republican"
46,58,"Democrat"
46,59,"Democrat"
46,60,"Democrat"
46,61,"Democrat"
46,62,"Democrat"
46,63,"Democrat"
46,64,"Republican"
46,65,"Democrat"
46,66,"Republican"
46,67,"Republican"
46,68,"Democrat"
46,69,"Democrat"
46,70,"Democrat"
46,71,"Democrat"
46,72,"Democrat"
46,73,"Democrat"
46,74,"Republican"
46,75,"Republican"
46,76,"Democrat"
46,77,"Democrat"
46,78,"Democrat"
46,79,"Democrat"
46,80,"Republican"
46,81,"Republican"
47,1,"Democrat"
47,2,"Democrat"
47,3,"Democrat"
47,4,"Democrat"
47,5,"Republican"
47,6,"Democrat"
47,7,"Republican"
47,8,"Republican"
47,9,"Republican"
47,10,"Republican"
47,11,"Republican"
47,12,"Republican"
47,13,"Democrat"
47,14,"Democrat"
47,15,"Democrat"
47,16,"Democrat"
47,17,"Democrat"
47,18,"Democrat"
47,19,"Democrat"
47,20,"Democrat"
47,21,"Republican"
47,22,"Republican"
47,23,"Democrat"
47,24,"Republican"
47,25,"Republican"
47,26,"Republican"
47,27,"Republican"
47,28,"Democrat"
47,29,"Democrat"
47,30,"Democrat"
47,31,"Republican"
47,32,"Republican"
47,33,"Republican"
47,34,"Democrat"
47,35,"Democrat"
47,36,"Republican"
47,37,"Republican"
47,38,"Republican"
47,39,"Republican"
47,40,"Republican"
47,41,"Republican"
47,42,"Republican"
47,43,"Democrat"
47,44,"Democrat"
47,45,"Democrat"
47,46,"Democrat"
47,47,"Republican"
47,48,"Republican"
47,49,"Democrat"
47,50,"Republican"
47,51,"Republican"
47,52,"Republican"
47,53,"Republican"
47,54,"Democrat"
47,55,"Republican"
47,56,"Republican"
47,57,"Republican"
47,58,"Republican"
47,59,"Democrat"
47,60,"Democrat"
47,61,"Democrat"
47,62,"Republican"
47,63,"Democrat"
47,64,"Democrat"
47,65,"Republican"
47,66,"Republican"
47,67,"Republican"
47,68,"Republican"
47,69,"Republican"
47,70,"Democrat"
47,71,"Democrat"
47,72,"Democrat"
47,73,"Democrat"
47,74,"Democrat"
47,75,"Democrat"
47,76,"Republican"
47,77,"Republican"
47,78,"Democrat"
47,79,"Democrat"
47,80,"Democrat"
47,81,"Democrat"
47,82,"Republican"
47,83,"Republican"
48,1,"Democrat"
48,2,"Democrat"
48,3,"Democrat"
48,4,"Democrat"
48,5,"Democrat"
48,6,"Republican"
48,7,"Republican"
48,8,"Republican"
48,9,"Republican"
48,10,"Republican"
48,11,"Democrat"
48,12,"Democrat"
48,13,"Democrat"
48,14,"Democrat"
48,15,"Democrat"
48,16,"Democrat"
48,17,"Republican"
48,18,"Republican"
48,19,"Democrat"
48,20,"Republican"
48,21,"Republican"
48,22,"Republican"
48,23,"Republican"
48,24,"Republican"
48,25,"Democrat"
48,26,"Democrat"
48,27,"Democrat"
48,28,"Democrat"
48,29,"Republican"
48,30,"Republican"
48,31,"Democrat"
48,32,"Democrat"
48,33,"Republican"
48,34,"Republican"
48,35,"Republican"
48,36,"Republican"
48,37,"Republican"
48,38,"Republican"
48,39,"Democrat"
48,40,"Democrat"
48,41,"Democrat"
48,42,"Democrat"
48,43,"Republican"
48,44,"Republican"
48,45,"Democrat"
48,46,"Republican"
48,47,"Republican"
48,48,"Republican"
48,49,"Democrat"
48,50,"Republican"
48,51,"Republican"
48,52,"Republican"
48,53,"Democrat"
48,54,"Democrat"
48,55,"Republican"
48,56,"Democrat"
48,57,"Democrat"
48,58,"Republican"
48,59,"Republican"
48,60,"Republican"
48,61,"Republican"
48,62,"Republican"
48,63,"Republican"
48,64,"Republican"
48,65,"Democrat"
48,66,"Democrat"
48,67,"Democrat"
48,68,"Democrat"
48,69,"Democrat"
48,70,"Democrat"
48,71,"Republican"
48,72,"Republican"
48,73,"Democrat"
48,74,"Democrat"
48,75,"Democrat"
48,76,"Democrat"
48,77,"Republican"
48,78,"Republican"
49,1,"Democrat"
49,2,"Democrat"
49,3,"Democrat"
49,4,"Democrat"
49,5,"Republican"
49,6,"Republican"
49,7,"Democrat"
49,8,"Republican"
49,9,"Republican"
49,10,"Republican"
49,11,"Republican"
49,12,"Republican"
49,13,"Democrat"
49,14,"Democrat"
49,15,"Democrat"
49,16,"Democrat"
49,17,"Democrat"
49,18,"Democrat"
49,19,"Republican"
49,20,"Republican"
49,21,"Republican"
49,22,"Democrat"
49,23,"Republican"
49,24,"Republican"
49,25,"Republican"
49,26,"Republican"
49,27,"Republican"
49,28,"Democrat"
49,29,"Democrat"
49,30,"Democrat"
49,31,"Democrat"
49,32,"Republican"
49,33,"Republican"
49,34,"Democrat"
49,35,"Democrat"
49,36,"Republican"
49,37,"Republican"
49,38,"Republican"
49,39,"Republican"
49,40,"Republican"
49,41,"Republican"
49,42,"Democrat"
49,43,"Democrat"
49,44,"Democrat"
49,45,"Democrat"
49,46,"Republican"
49,47,"Republican"
49,48,"Republican"
49,49,"Democrat"
49,50,"Republican"
49,51,"Republican"
49,52,"Republican"
49,53,"Republican"
49,54,"Democrat"
49,55,"Republican"
49,56,"Republican"
49,57,"Democrat"
49,58,"Democrat"
49,59,"Democrat"
49,60,"Republican"
49,61,"Republican"
49,62,"Republican"
49,63,"Republican"
49,64,"Republican"
49,65,"Republican"
49,66,"Republican"
49,67,"Democrat"
49,68,"Democrat"
49,69,"Democrat"
49,70,"Democrat"
49,71,"Democrat"
49,72,"Democrat"
49,73,"Democrat"
49,74,"Republican"
49,75,"Republican"
49,76,"Republican"
49,77,"Republican"
49,78,"Democrat"
49,79,"Democrat"
49,80,"Republican"
49,81,"Republican"
50,1,"Democrat"
50,2,"Democrat"
50,3,"Democrat"
50,4,"Democrat"
50,5,"Republican"
50,6,"Democrat"
50,7,"Republican"
50,8,"Republican"
50,9,"Republican"
50,10,"Republican"
50,11,"Democrat"
50,12,"Democrat"
50,13,"Democrat"
50,14,"Democrat"
50,15,"Democrat"
50,16,"Democrat"
50,17,"Republican"
50,18,"Republican"
50,19,"Democrat"
50,20,"Democrat"
50,21,"Republican"
50,22,"Republican"
50,23,"Republican"
50,24,"Republican"
50,25,"Democrat"
50,26,"Democrat"
50,27,"Democrat"
50,28,"Democrat"
50,29,"Republican"
50,30,"Republican"
50,31,"Democrat"
50,32,"Democrat"
50,33,"Republican"
50,34,"Republican"
50,35,"Republican"
50,36,"Republican"
50,37,"Republican"
50,38,"Republican"
50,39,"Democrat"
50,40,"Democrat"
50,41,"Democrat"
50,42,"Democrat"
50,43,"Republican"
50,44,"Republican"
50,45,"Republican"
50,46,"Republican"
50,47,"Republican"
50,48,"Republican"
50,49,"Democrat"
50,50,"Democrat"
50,51,"Republican"
50,52,"Republican"
50,53,"Democrat"
50,54,"Democrat"
50,55,"Democrat"
50,56,"Republican"
50,57,"Republican"
50,58,"Republican"
50,59,"Republican"
50,60,"Republican"
50,61,"Republican"
50,62,"Republican"
50,63,"Democrat"
50,64,"Democrat"
50,65,"Democrat"
50,66,"Democrat"
50,67,"Democrat"
50,68,"Democrat"
50,69,"Republican"
50,70,"Republican"
50,71,"Democrat"
50,72,"Republican"
50,73,"Democrat"
50,74,"Democrat"
50,75,"Republican"
50,76,"Republican"
51,1,"Democrat"
51,2,"Democrat"
51,3,"Democrat"
51,4,"Democrat"
51,5,"Democrat"
51,6,"Republican"
51,7,"Republican"
51,8,"Republican"
51,9,"Republican"
51,10,"Republican"
51,11,"Republican"
51,12,"Democrat"
51,13,"Democrat"
51,14,"Democrat"
51,15,"Democrat"
51,16,"Democrat"
51,17,"Republican"
51,18,"Republican"
51,19,"Republican"
51,20,"Republican"
51,21,"Democrat"
51,22,"Democrat"
51,23,"Republican"
51,24,"Republican"
51,25,"Republican"
51,26,"Republican"
51,27,"Democrat"
51,28,"Democrat"
51,29,"Democrat"
51,30,"Democrat"
51,31,"Democrat"
51,32,"Republican"
51,33,"Republican"
51,34,"Democrat"
51,35,"Democrat"
51,36,"Republican"
51,37,"Republican"
51,38,"Republican"
51,39,"Republican"
51,40,"Republican"
51,41,"Republican"
51,42,"Democrat"
51,43,"Democrat"
51,44,"Democrat"
51,45,"Democrat"
51,46,"Republican"
51,47,"Republican"
