CountryCode,Year,Week,Sex,0-14,15-64,65-74,75-84,85+,Total,0-14,15-64,65-74,75-84,85+,Total,Split,SplitSex,Forecast
USA,2020,32,m,317,10812,7558,8093,6889,33669,0.000528316120722372,0.00521102644611645,0.0256870564315688,0.0598288229793266,0.160349269970917,0.010697685836777,0,0,0
USA,2020,32,f,247,6219,5262,7312,10866,29906,0.00043101314349773,0.00301313486097368,0.0158800172243843,0.04261707183882,0.144313561570652,0.00930126840628293,0,0,0
USA,2020,32,b,564,17031,12820,15405,17755,63575,0.000480782378586076,0.00411496629952831,0.020492535915532,0.0502047159183756,0.15013930107139,0.00999202114368695,0,0,0
USA,2020,33,m,296,10683,7593,7971,6852,33395,0.000493317260989975,0.00514885271215891,0.025806009458177,0.058926918073423,0.159488053105055,0.0106106275362846,0,0,0
USA,2020,33,f,233,6123,5317,7371,11071,30115,0.000406583248724579,0.0029666224077411,0.0160459999205723,0.0429609459141059,0.147036208370024,0.00936627091738148,0,0,0
USA,2020,33,b,529,16806,12910,15342,17923,63510,0.000450946592680911,0.00406060264399465,0.0206363992721933,0.0499993996507445,0.15155993765714,0.00998180515667414,0,0,0
USA,2020,34,m,285,10413,7401,7751,6901,32751,0.000474984524939672,0.00501872164108496,0.0251534671407834,0.0573005321775312,0.160628583549035,0.0104060087570252,0,0,0
USA,2020,34,f,226,5916,5328,7282,10934,29686,0.000394368301338004,0.00286632993045832,0.0160791964598099,0.0424422206140984,0.145216683435809,0.00923284471038972,0,0,0
USA,2020,34,b,511,16329,12729,15033,17835,62437,0.000435602474215398,0.00394535169426328,0.02034707407713,0.0489923722428394,0.150815794683652,0.00981316278644722,0,0,0
USA,2020,35,m,272,10203,6964,7531,6856,31826,0.00045331856415295,0.00491750858580523,0.0236682536371322,0.0556741462816395,0.159581157631094,0.0101121075601076,0,0,0
USA,2020,35,f,256,5869,5182,7072,10773,29152,0.000446718075851898,0.0028435582085632,0.0156385878481109,0.0412182620410469,0.143078409608009,0.00906676173944894,0,0,0
USA,2020,35,b,528,16072,12146,14603,17629,60978,0.000450094141655049,0.00388325631883149,0.0194151592223129,0.0475910072415475,0.149073823632077,0.00958385317026729,0,0,0
USA,2020,36,m,291,10224,6953,7421,6589,31478,0.000484984199148928,0.00492762989133321,0.0236308684001982,0.0548609533336936,0.153366430517982,0.0100015371638619,0,0,0
